same_total,plus_25_percent,plus_extra_budget
69790.65036123327,101874.40328583121,77366.12340042734
94839.9302446759,147510.4899953949,107067.86653717904
65229.293535950885,108542.88361962955,76415.48564983235
65648.90518236946,104917.23802414903,76206.82296905114
44033.225213808415,74637.42665508011,52215.200860720535
47931.340761620086,80190.47223642934,56385.017669187626
44264.821421529516,75238.37937193818,52889.55135522352
51904.66565794108,97578.94605397136,65058.61356496607
64314.52824737353,117076.69365970156,77663.26462497667
75475.59804341593,116724.06196554989,85148.66096852702
66060.54947954748,94353.14884899143,72696.80382339942
77122.40054976649,107233.71575221297,84213.20756881998
75317.3229163586,106166.0483705994,82464.21762883628
68057.49055385159,107076.60529826884,77413.2015761197
43426.1174869574,63651.24195513909,48431.16357217642
71435.07605647517,110105.99765374057,80233.65555065213
48464.15434350283,83522.75720928493,57546.87169812457
60113.674170250655,95348.5868709113,68711.84808753862
41999.27810556162,67787.79492637306,48558.786992889945
83519.38126647932,129564.0073844234,95055.85570743255
22247.27038081549,56496.895114143146,32642.154361170135
94109.19956138195,138994.15155280172,104768.96800351737
30451.82280414377,51361.358238831104,36262.02255053446
55264.94207834854,88345.19726683584,63788.354163798795
54866.77761129261,89034.47069478745,63486.6407729325
65300.21103332483,111612.41621098481,77272.94271265232
66280.36395404453,98882.19296336581,73961.880068406
63060.22319464275,105686.480928056,73946.82202229346
73202.1335182963,105264.60812413535,80758.34203162254
55787.80121687398,90583.99108243868,64970.20647681097
58874.68866577142,85374.8350049814,64867.75021359688
71443.56913585309,100048.03380964685,78081.28737958381
55185.406237230985,78444.81699819246,60529.6430482266
73700.58543796919,120269.45412045543,85644.38486593973
128133.2442146187,205137.84039317572,147253.0242300243
50034.183486069844,73904.80339710478,56144.37831285503
45503.78027505416,70769.63248656061,51842.395376038854
44432.965057544934,73278.90504179522,52004.15842627123
34158.90765361057,64853.40338403219,42820.980290188454
76858.32574102149,120203.13258200989,87609.31197623943
58191.1160422836,93550.07880555955,66912.96658089326
93087.6946544007,138916.77566953131,104526.74749591714
96568.19933591713,139745.0045125038,106729.50951546134
78949.73750363896,118368.37880035525,88634.80872280756
67653.20022507978,106564.84008701646,77572.18900410249
47328.26188868756,80494.25800629688,55860.518956945685
47077.48168167827,90839.32006699953,59240.72241421841
121334.37463130686,189645.89013010217,137521.3875431792
57316.37915241119,88844.95548771496,65232.89108654164
70370.47858357173,103814.0257484786,78209.33606680844
87898.86368239223,145399.4034878689,102653.99840479455
83253.92408435442,126508.67901377869,93894.73803820496
71084.48935836978,113832.62496385997,82343.22017011087
83297.55165153288,120302.62719544361,91861.95591226069
38751.3892182078,64573.54095380334,45406.944284186
59426.41160126112,92305.97525826533,67239.21530745528
32946.12715572142,57089.54728434479,39833.45230320742
69832.24230963836,102010.18347520812,77964.23889017612
59092.59586801473,87491.20901571971,66244.4735456272
41422.62538063293,67012.57232274767,47615.950778090744
86331.0998033121,140986.93908468756,99473.58467923471
52048.85176356946,76828.2087507887,58098.605637120374
115794.57222504169,170482.72498251812,128679.7029713795
88353.89216581709,135544.868127483,99480.12278900255
90655.33433053445,140993.90436820488,103330.21439203073
61012.79621653323,92762.25715725432,68904.29588853079
66313.90920401155,108331.73216185393,77627.44438540144
47194.437283428095,79504.86259198067,55803.103848891216
44607.2693033641,83715.24634432048,55254.786526863
73660.81534659804,105562.34779712901,81036.04233761801
61553.89610532648,100893.22793591896,72138.12816311419
65494.97757319565,102739.058321246,74975.62645031192
65892.06314962037,108832.74137779,75921.88326129585
95912.8481191289,143125.55187579774,107792.85912761121
64406.69167985994,108042.84672071208,75077.26170808997
57376.40232464811,91545.75958523108,66196.51396674209
44999.66346747172,73089.38001925847,52514.694014333305
35676.49601424439,56270.970774684916,40966.91924728232
63911.146044457564,110520.90920506336,75676.12525585806
73923.62672045128,111724.99454760074,82629.56877226743
43466.27447576204,68040.68904192757,50000.76396779984
82896.37654083554,144455.74188033218,99125.73381109704
54441.44892409787,83140.11254517466,61197.537032998196
62813.23089984199,98825.28974342917,72211.98366243578
